User ID,Group,Q_1_IsAnswerCorrect,Q_1_UserChoice,Q_1_Confidence,Q_2_IsAnswerCorrect,Q_2_UserChoice,Q_2_Confidence,Q_3_IsAnswerCorrect,Q_3_UserChoice,Q_3_Confidence,Q_4_IsAnswerCorrect,Q_4_UserChoice,Q_4_Confidence,Q_5_IsAnswerCorrect,Q_5_UserChoice,Q_5_Confidence,Q_6_IsAnswerCorrect,Q_6_UserChoice,Q_6_Confidence,Q_7_IsAnswerCorrect,Q_7_UserChoice,Q_7_Confidence,Q_8_IsAnswerCorrect,Q_8_UserChoice,Q_8_Confidence,Q_9_IsAnswerCorrect,Q_9_UserChoice,Q_9_Confidence,Q_10_IsAnswerCorrect,Q_10_UserChoice,Q_10_Confidence
UID_zf63Yb21yM72NL83ye,1,0,2,3,1,1,5,1,4,5,0,4,3,1,7,3,1,8,4,0.0,1.0,1.0,0,2,2,1,2,4,1,7,4
UID_qj76Bi60Df69YZ33Av,1,0,2,3,1,1,4,1,4,5,0,4,2,0,4,5,1,8,4,1.0,6.0,3.0,0,1,4,0,7,3,0,3,4
UID_Bj78ji34MB49sP45MG,1,0,5,3,0,4,4,0,1,4,0,7,4,0,5,4,0,7,4,0.0,7.0,3.0,0,3,4,0,8,4,0,6,4
UID_AA98Pb15Wu11uB26cZ,1,0,3,5,0,4,4,1,4,5,0,5,2,0,6,4,0,1,3,1.0,6.0,3.0,0,6,3,0,7,1,0,3,3
UID_EE08cu30Ja03zP93ce,1,0,3,3,0,5,2,0,6,3,0,3,4,0,4,4,0,4,4,0.0,1.0,3.0,0,1,4,0,1,2,1,7,3
UID_YI62qL09gX02pt71gT,1,0,7,3,1,1,3,1,4,4,0,6,2,0,3,2,0,7,4,1.0,6.0,1.0,0,2,3,0,1,2,0,2,3
UID_fK82pM28bY93on69nf,1,0,2,1,1,1,2,0,3,1,0,4,3,1,7,4,0,7,3,0.0,1.0,2.0,0,1,1,1,2,3,0,2,2
UID_kA05xv27XV42wv16tf,1,0,7,3,0,6,3,0,6,3,0,8,3,1,7,3,0,1,3,,,,0,2,3,0,4,3,0,1,3
UID_Ny82mm99jA65Kz86kc,2,0,5,4,0,3,4,0,6,3,0,8,3,0,4,4,0,6,5,0.0,8.0,3.0,1,5,4,0,5,3,0,4,3
UID_xT24cp45nT04Er03Bw,2,1,1,4,1,1,4,1,4,4,0,6,4,1,7,3,0,7,4,0.0,8.0,4.0,1,5,4,1,2,3,1,7,3
UID_Ui48Gp29Uy37Mp22rr,2,1,1,5,1,1,4,1,4,4,1,2,4,1,7,3,0,7,3,0.0,3.0,4.0,0,2,5,1,2,4,0,2,4
UID_FD57fE92eJ87yU05If,2,1,1,3,1,1,4,1,4,4,0,4,4,1,7,2,0,7,4,0.0,8.0,3.0,0,2,4,0,3,3,0,2,3
UID_pU52rW52un31zY70zr,2,1,1,1,1,1,4,1,4,2,0,7,3,1,7,1,0,7,4,0.0,8.0,1.0,1,5,4,1,2,1,0,2,1
UID_Yz86DI77bB22Fa03Lb,2,1,1,3,1,1,5,1,4,4,0,7,4,0,3,4,0,7,3,0.0,7.0,4.0,0,1,2,1,2,5,1,7,4
UID_hj49Rw10Tl85xS05oS,2,1,1,4,0,4,5,1,4,5,0,6,3,1,7,4,0,7,5,1.0,6.0,3.0,0,2,4,1,2,4,1,7,3
UID_iT47Xq60JJ14rW99nz,2,1,1,2,1,1,3,0,1,2,0,6,3,1,7,3,0,7,3,0.0,1.0,2.0,0,7,2,0,1,3,0,6,3
UID_nO24HW66ys09UB68kg,2,1,1,4,1,1,5,1,4,5,0,4,2,1,7,3,0,7,4,0.0,3.0,4.0,1,5,4,1,2,5,0,4,2
UID_Ci04yT79Cp30Qd09qQ,2,0,2,5,1,1,5,0,6,4,0,5,4,1,7,2,1,8,4,1.0,6.0,4.0,1,5,4,1,2,5,1,7,4
UID_Rf68OM44VK16IW59jR,2,1,1,4,1,1,4,1,4,5,0,7,4,0,5,3,0,7,3,0.0,3.0,4.0,0,8,4,1,2,4,0,2,4
UID_VQ81OX01Jp49rL63Mm,2,0,6,3,1,1,5,1,4,4,0,6,4,1,7,1,0,7,3,0.0,8.0,3.0,1,5,5,1,2,4,1,7,2
UID_lx05wC07nF78xc90bP,2,1,1,2,1,1,5,1,4,5,0,4,4,1,7,5,0,7,5,0.0,8.0,4.0,1,5,3,1,2,5,1,7,4
UID_Vx42uE05WT52TC36Sb,2,0,2,3,1,1,4,1,4,2,0,6,3,1,7,3,0,7,1,0.0,3.0,2.0,0,2,3,1,2,4,0,4,3
UID_Ly35zm07CE79AJ71AL,2,0,5,4,1,1,5,1,4,3,0,6,4,1,7,3,1,8,3,0.0,7.0,3.0,1,5,4,1,2,4,1,7,3
UID_Nh05qD35BC38Gt71Zp,2,1,1,5,1,1,5,1,4,5,0,4,3,1,7,5,0,7,5,0.0,3.0,4.0,0,2,4,1,2,4,1,7,4
UID_ni50Zk52uv04Bx44yI,2,1,1,4,1,1,4,1,4,4,0,4,3,1,7,4,0,7,4,0.0,3.0,4.0,0,2,3,1,2,4,1,7,3
UID_Gy14mT33cO64Pb39SB,2,0,7,5,0,5,5,0,7,5,0,6,5,1,7,5,0,6,5,0.0,8.0,5.0,1,5,5,1,2,5,0,8,5
UID_dj72tz38vH49bG00hK,2,1,1,4,1,1,4,1,4,5,0,7,5,1,7,5,0,7,5,0.0,8.0,3.0,1,5,5,1,2,4,0,8,3
UID_SG83Qp61pa74PN42tT,2,1,1,3,1,1,5,1,4,5,1,2,3,1,7,2,0,7,4,0.0,3.0,2.0,0,2,2,1,2,2,1,7,3
UID_dp68Dy20Sq41DS53Yy,3,1,1,4,1,1,4,1,4,3,0,8,4,1,7,2,0,2,3,0.0,8.0,4.0,1,5,4,0,7,4,1,7,4
UID_bp49MI42go43mp73ON,3,1,1,4,1,1,4,1,4,3,0,8,4,1,7,2,0,7,3,0.0,8.0,3.0,1,5,4,1,2,5,0,2,4
UID_LD56Bs25nb89Ii45cB,3,1,1,2,1,1,4,1,4,4,0,6,3,1,7,4,0,7,3,1.0,6.0,2.0,1,5,2,1,2,4,1,7,3
UID_mG39do97cO99Dh08lt,3,1,1,3,1,1,5,1,4,5,0,4,3,1,7,1,0,7,4,0.0,3.0,1.0,1,5,1,1,2,5,1,7,4
UID_kd11Mx77az59JZ19BW,3,1,1,3,1,1,5,1,4,3,0,8,4,0,4,4,0,2,4,0.0,8.0,2.0,0,1,3,1,2,4,1,7,3
UID_px65Eb60MY35QU64Ug,3,1,1,3,1,1,5,0,1,4,0,6,5,1,7,4,0,2,5,0.0,8.0,2.0,1,5,5,1,2,4,1,7,3
UID_Nd00vb42Gn72gc29yd,3,1,1,1,1,1,4,0,6,3,0,6,1,1,7,4,0,2,1,0.0,8.0,1.0,1,5,1,1,2,3,0,4,1
UID_xg63lr11Ft55Yw69Sh,3,1,1,1,1,1,5,0,3,4,0,4,4,1,7,4,0,3,1,0.0,8.0,2.0,1,5,4,1,2,5,1,7,3
UID_Cx94jO67cG68at19np,3,0,2,4,1,1,5,0,6,3,0,6,3,1,7,3,0,2,4,1.0,6.0,3.0,1,5,4,1,2,4,1,7,3
UID_gO45uY31fe69vu68XK,3,0,6,4,1,1,4,0,6,5,0,6,4,1,7,3,0,2,3,0.0,8.0,4.0,1,5,4,1,2,5,1,7,4
UID_CG33Bx41th36ou32Lz,3,1,1,3,1,1,4,1,4,3,0,8,4,0,4,3,0,7,5,0.0,8.0,3.0,0,2,4,1,2,4,1,7,3
UID_si83yM64Gt57aw47SZ,3,1,1,2,0,4,4,0,1,2,0,4,2,1,7,1,0,2,4,0.0,8.0,2.0,0,2,4,1,2,4,1,7,4
UID_uy97qa01Rn70WH16hH,3,1,1,4,1,1,5,0,1,3,0,6,5,1,7,4,0,2,3,0.0,8.0,4.0,1,5,4,1,2,5,1,7,3
UID_gt02OG62nO82PI38pK,3,1,1,3,1,1,4,0,1,3,0,6,4,1,7,4,0,2,4,0.0,8.0,2.0,1,5,4,1,2,4,1,7,2
UID_JV95WY58IU46vs90ON,3,0,2,2,1,1,2,0,1,2,0,6,3,1,7,3,0,7,2,0.0,8.0,3.0,1,5,2,1,2,4,1,7,3
UID_sX89HY66Hb45zR11DV,3,0,5,1,1,1,5,1,4,3,0,6,2,0,5,2,0,7,4,0.0,8.0,2.0,1,5,2,1,2,3,1,7,3
UID_Ev92JD20CN53IE11IC,3,0,2,4,1,1,3,1,4,4,1,2,2,1,7,3,0,6,3,0.0,8.0,2.0,1,5,3,1,2,4,1,7,4
UID_vU68Pw24OW77Tm64UZ,3,1,1,4,1,1,5,0,1,3,0,8,4,1,7,4,0,2,4,1.0,6.0,4.0,1,5,4,1,2,4,1,7,4
UID_QO06Kz93iC02Lv08MS,3,0,8,5,1,1,5,0,1,5,0,5,5,1,7,5,0,7,5,0.0,8.0,5.0,1,5,5,0,8,5,0,2,5
UID_LE98zo14GI82DF18bF,3,1,1,5,1,1,5,0,6,3,0,6,3,0,4,4,0,2,5,1.0,6.0,4.0,1,5,4,1,2,4,1,7,3
UID_zg60nw16Zj14GE24OK,4,1,1,3,0,3,3,1,4,4,0,7,4,1,7,2,0,7,4,0.0,7.0,2.0,1,5,4,1,2,3,1,7,3
UID_Kh33II87OE48me61wS,4,1,1,2,0,2,1,1,4,4,0,6,1,1,7,4,0,7,3,0.0,5.0,3.0,1,5,3,1,2,3,0,3,2
UID_wx00zb41RE78sd65vI,4,1,1,3,0,4,5,0,6,4,0,7,4,0,4,3,0,7,4,0.0,7.0,2.0,1,5,4,1,2,4,1,7,3
UID_HM12iI31fB84kZ06UW,4,1,1,5,0,3,5,1,4,5,0,7,4,1,7,4,0,7,4,0.0,5.0,3.0,1,5,5,1,2,5,1,7,5
UID_Xu32Gj19aG46FQ69zJ,4,1,1,4,1,1,4,1,4,4,1,2,5,1,7,2,0,7,3,0.0,3.0,3.0,1,5,5,0,1,3,0,5,4
UID_tx40hv78qq58IZ57qP,4,1,1,3,1,1,5,1,4,3,0,8,3,1,7,4,0,7,5,0.0,7.0,3.0,0,2,4,1,2,5,0,2,4
UID_lO15KF69cB19UE08Xx,4,0,2,3,1,1,4,1,4,4,0,8,3,1,7,3,0,7,4,0.0,7.0,3.0,1,5,4,1,2,3,0,6,3
UID_wj18Kx13UM38TJ69Xb,4,1,1,5,0,3,4,1,4,4,0,4,4,0,2,1,1,8,5,0.0,7.0,4.0,0,2,5,0,8,4,0,6,5
UID_GT08Ed66cw32sT06tO,4,1,1,2,1,1,5,1,4,4,0,4,4,1,7,5,0,7,4,0.0,7.0,3.0,1,5,5,1,2,3,1,7,4
UID_oK46tL81TB22sM95PJ,4,1,1,4,1,1,4,1,4,4,0,8,3,1,7,3,0,7,5,0.0,7.0,4.0,0,2,3,1,2,4,0,2,2
UID_wL06Fv75kd18dw37ki,4,1,1,5,1,1,4,1,4,4,1,2,4,1,7,4,0,7,4,1.0,6.0,3.0,1,5,3,1,2,4,1,7,3
UID_AL88fP97Bp56ex69kY,4,1,1,4,1,1,4,1,4,4,0,7,3,1,7,4,0,7,4,0.0,7.0,3.0,0,2,4,0,8,3,0,4,4
UID_Ap38aP78Xd24Ti19AZ,4,0,7,4,0,2,4,0,6,4,1,2,4,1,7,4,0,7,4,0.0,7.0,3.0,1,5,4,1,2,4,1,7,5
UID_RI60NL91dt20vI45Zv,4,1,1,4,1,1,4,1,4,3,0,6,2,1,7,3,0,7,3,0.0,7.0,3.0,1,5,3,1,2,2,1,7,3
UID_FU14Hi32KR88EL70dP,4,0,2,5,0,3,5,1,4,5,0,8,4,1,7,3,0,1,4,0.0,5.0,4.0,1,5,4,1,2,5,0,2,4
UID_uD87YL97mT98wU91nT,4,0,5,4,0,4,4,1,4,5,1,2,2,1,7,4,0,7,4,0.0,7.0,1.0,1,5,3,1,2,3,1,7,3
UID_Mt42wI53qu08cb59HZ,4,1,1,3,1,1,4,1,4,5,0,7,2,1,7,3,0,7,5,0.0,3.0,2.0,1,5,5,1,2,3,0,2,3
UID_OK09vl97Vd69jc25cJ,4,1,1,5,1,1,4,1,4,4,1,2,4,1,7,5,0,7,4,0.0,7.0,3.0,1,5,3,1,2,5,0,6,3
UID_zH04vB39vY48BB82va,4,1,1,4,0,3,5,1,4,5,0,4,4,1,7,4,0,7,5,0.0,7.0,4.0,1,5,4,1,2,4,0,4,5
UID_gW57Nd35VM60yL67dT,4,0,2,4,0,2,4,1,4,4,1,2,4,1,7,4,0,7,4,0.0,7.0,4.0,1,5,4,1,2,4,0,6,4
UID_Hg08dP61na51ZM56rQ,5,1,1,3,1,1,5,0,6,4,0,6,5,1,7,5,0,7,2,0.0,7.0,1.0,1,5,4,1,2,5,0,2,4
UID_TB24Xd47rO50uC82bW,5,1,1,3,1,1,3,1,4,3,0,8,3,1,7,4,0,7,5,0.0,7.0,4.0,1,5,3,1,2,3,0,8,3
UID_qC25No67vP11AB03bR,5,1,1,1,0,2,1,1,4,1,0,4,2,1,7,1,0,7,1,0.0,7.0,1.0,1,5,1,1,2,1,0,8,1
UID_Xc25bq55Ic87Qs53bk,5,1,1,4,1,1,4,1,4,5,1,2,5,1,7,4,0,7,4,1.0,6.0,3.0,0,2,4,1,2,5,0,4,3
UID_Iv20VI44US80dS78xY,5,0,5,4,1,1,3,1,4,4,0,4,3,0,3,3,0,7,4,1.0,6.0,3.0,0,2,3,1,2,3,0,8,2
UID_wB23Fp88kp97MH01LP,5,1,1,5,1,1,5,1,4,5,0,8,3,0,3,3,0,7,4,0.0,7.0,4.0,1,5,5,1,2,4,1,7,4
UID_Eb25VY43sm07Yf87ww,5,1,1,3,1,1,3,1,4,5,1,2,5,1,7,5,0,7,4,0.0,7.0,4.0,1,5,5,1,2,5,0,2,3
UID_zJ06Xm51mv59uw34ZF,5,0,5,5,1,1,5,1,4,5,1,2,5,1,7,5,1,8,5,1.0,6.0,4.0,1,5,5,1,2,5,1,7,5
UID_tL21Td42TW96jx50JE,5,0,5,3,1,1,4,1,4,5,0,4,4,1,7,4,0,7,2,0.0,7.0,3.0,1,5,5,1,2,4,0,8,3
UID_vL31FS86ri66rZ14sT,5,1,1,5,0,3,4,1,4,4,1,2,3,0,4,4,0,1,4,0.0,7.0,3.0,0,2,5,1,2,5,0,2,3
UID_EI38ib82HG46fU08oR,5,1,1,5,1,1,3,1,4,5,0,6,5,1,7,5,1,8,5,0.0,7.0,5.0,0,2,5,1,2,4,1,7,2
UID_Rs55MY88wb21UN85TJ,5,1,1,4,0,2,3,1,4,3,1,2,4,1,7,3,0,7,4,0.0,7.0,3.0,1,5,4,1,2,2,0,8,3
UID_cj57ak27iy05YN35ss,5,1,1,3,1,1,4,1,4,5,0,6,2,1,7,3,0,7,3,1.0,6.0,2.0,1,5,5,1,2,4,1,7,4
UID_Dq81al47Ej35mF08WN,5,1,1,5,1,1,5,1,4,5,0,4,4,1,7,4,0,7,5,0.0,7.0,3.0,1,5,5,1,2,5,0,2,4
UID_Sh35Zq77op98yU87nc,5,0,5,2,1,1,1,1,4,5,1,2,2,1,7,5,0,3,2,0.0,7.0,1.0,1,5,3,1,2,5,1,7,4
UID_CF02vC74Pc64Kl17qk,5,0,5,4,1,1,4,1,4,4,0,7,3,1,7,5,0,7,4,0.0,7.0,4.0,1,5,4,1,2,4,1,7,4
UID_FG46xu58JO11lz44dt,5,1,1,5,0,2,5,1,4,5,1,2,4,1,7,5,0,7,4,0.0,7.0,5.0,1,5,5,1,2,5,0,8,4
UID_mC27mn99vZ72Ix97hE,5,1,1,3,1,1,5,1,4,4,0,8,4,0,4,3,0,7,3,1.0,6.0,3.0,0,2,4,1,2,3,0,3,4
UID_zx46vz31og35Jx66RA,5,0,5,4,1,1,2,1,4,5,1,2,3,1,7,4,1,8,3,0.0,7.0,3.0,1,5,2,0,3,4,1,7,3
UID_Fy84yY21tb83BJ62mg,5,1,1,3,0,3,4,1,4,5,1,2,4,1,7,5,0,7,4,0.0,7.0,3.0,0,2,4,1,2,5,0,2,4
F_UID_Hg08dP61na51ZM56rQ,6,1,1,6,1,1,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,0,2,6
F_UID_TB24Xd47rO50uC82bW,6,1,1,6,1,1,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,0,8,6
F_UID_qC25No67vP11AB03bR,6,1,1,6,0,2,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,0,8,6
F_UID_Xc25bq55Ic87Qs53bk,6,1,1,6,1,1,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,0,4,6
F_UID_Iv20VI44US80dS78xY,6,0,5,6,1,1,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,0,8,6
F_UID_wB23Fp88kp97MH01LP,6,1,1,6,1,1,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,1,7,6
F_UID_Eb25VY43sm07Yf87ww,6,1,1,6,1,1,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,0,2,6
F_UID_zJ06Xm51mv59uw34ZF,6,0,5,6,1,1,6,1,4,6,1,2,6,1,7,6,1,8,6,0.0,7.0,6.0,1,5,6,1,2,6,1,7,6
F_UID_tL21Td42TW96jx50JE,6,0,5,6,1,1,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,0,8,6
F_UID_vL31FS86ri66rZ14sT,6,1,1,6,0,3,6,1,4,6,1,2,6,1,7,6,0,1,6,0.0,7.0,6.0,1,5,6,1,2,6,0,2,6
F_UID_EI38ib82HG46fU08oR,6,1,1,6,1,1,6,1,4,6,1,2,6,1,7,6,1,8,6,0.0,7.0,6.0,1,5,6,1,2,6,1,7,6
F_UID_Rs55MY88wb21UN85TJ,6,1,1,6,0,2,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,0,8,6
F_UID_cj57ak27iy05YN35ss,6,1,1,6,1,1,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,1,7,6
F_UID_Dq81al47Ej35mF08WN,6,1,1,6,1,1,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,0,2,6
F_UID_Sh35Zq77op98yU87nc,6,0,5,6,1,1,6,1,4,6,1,2,6,1,7,6,0,3,6,0.0,7.0,6.0,1,5,6,1,2,6,1,7,6
F_UID_CF02vC74Pc64Kl17qk,6,0,5,6,1,1,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,1,7,6
F_UID_FG46xu58JO11lz44dt,6,1,1,6,0,2,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,0,8,6
F_UID_mC27mn99vZ72Ix97hE,6,1,1,6,1,1,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,0,3,6
F_UID_zx46vz31og35Jx66RA,6,0,5,6,1,1,6,1,4,6,1,2,6,1,7,6,1,8,6,0.0,7.0,6.0,1,5,6,1,2,6,1,7,6
F_UID_Fy84yY21tb83BJ62mg,6,1,1,6,0,3,6,1,4,6,1,2,6,1,7,6,0,7,6,0.0,7.0,6.0,1,5,6,1,2,6,0,2,6
