tuid,blockId,actionName,objectLogName,selectedShapeIndex,faceSelected,stageShapeIndex,explanationType,isCorrectPrediction,predictedShapeChoiceIndex,trueShapeChoiceIndex,stepActionType,lInd_0_BeforeAi,lInd_1_AfterAi,lInd_2_AfterXai,stat_1_vs_0_cnahged,stat_2_vs_0_cnahged,stat_2_vs_1_cnahged,face_0_BeforeAi,face_1_AfterAi,face_2_AfterXai,param1,param2,param3,param4,date,time
UID_Sp59WX69Ls96IJ56yH,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7788,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7788_SubmitRatingBtn,,5,,LLM,no,4,3,SubmitConfidenceForShape,3,3,3,false,false,false,4,3,5,LLM,,,,15:24:33 04.06.25,1749050673
UID_zv91uL38jb94JM58Jd,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7788,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7788_SubmitRatingBtn,,5,,LLM,no,4,3,SubmitConfidenceForShape,3,3,3,false,false,false,5,5,5,LLM,,,,15:26:08 04.06.25,1749050768
UID_GC64QU46gM94GA17IQ,confidence_rating1_stage_i0_OSExplanation_ShapeIndex_OS_869,click,confidence_rating1_stage_i0_OSExplanation_ShapeIndex_OS_869_SubmitRatingBtn,,2,,OS,yes,6,6,SubmitConfidenceForShape,6,-,-,true,false,false,2,-,-,OS,,,,15:26:44 04.06.25,1749050804
UID_Sp59WX69Ls96IJ56yH,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_6569,click,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_6569_SubmitRatingBtn,,4,,LLM,yes,1,1,SubmitConfidenceForShape,1,-,-,true,false,false,4,-,-,LLM,,,,15:26:48 04.06.25,1749050808
UID_bv13An42XI68xl08lQ,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_219,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_219_SubmitRatingBtn,,4,,LLM,no,6,2,SubmitConfidenceForShape,4,4,4,false,false,false,4,4,4,LLM,,,,15:27:15 04.06.25,1749050835
UID_ml46KH20Ef19wE69ad,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1228,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1228_SubmitRatingBtn,,5,,LLM,yes,1,1,SubmitConfidenceForShape,5,1,1,true,true,false,4,4,5,LLM,,,,15:27:17 04.06.25,1749050837
UID_zv91uL38jb94JM58Jd,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_4088,click,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_4088_SubmitRatingBtn,,5,,LLM,yes,6,6,SubmitConfidenceForShape,6,-,-,true,false,false,5,-,-,LLM,,,,15:27:37 04.06.25,1749050857
UID_ew60Nc39UF65Cn93Gi,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_4088,click,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_4088_SubmitRatingBtn,,4,,LLM,yes,6,6,SubmitConfidenceForShape,6,-,-,true,false,false,4,-,-,LLM,,,,15:28:11 04.06.25,1749050891
UID_iQ88Eg36pD60mG02Fi,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_2739,click,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_2739_SubmitRatingBtn,,3,,OS,no,4,2,SubmitConfidenceForShape,7,6,6,true,true,false,4,3,3,OS,,,,15:29:50 04.06.25,1749050990
UID_GC64QU46gM94GA17IQ,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_6999,click,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_6999_SubmitRatingBtn,,3,,OS,yes,4,4,SubmitConfidenceForShape,1,4,4,true,true,false,3,3,3,OS,,,,15:30:19 04.06.25,1749051019
UID_ew60Nc39UF65Cn93Gi,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_6569,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_6569_SubmitRatingBtn,,5,,LLM,yes,1,1,SubmitConfidenceForShape,4,4,4,false,false,false,4,4,5,LLM,,,,15:31:45 04.06.25,1749051105
UID_zv91uL38jb94JM58Jd,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1228,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1228_SubmitRatingBtn,,4,,LLM,yes,1,1,SubmitConfidenceForShape,2,2,2,false,false,false,3,3,4,LLM,,,,15:32:32 04.06.25,1749051152
UID_GC64QU46gM94GA17IQ,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_2739,click,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_2739_SubmitRatingBtn,,4,,OS,no,4,2,SubmitConfidenceForShape,7,7,7,false,false,false,4,4,4,OS,,,,15:33:07 04.06.25,1749051187
UID_ml46KH20Ef19wE69ad,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1229,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1229_SubmitRatingBtn,,3,,LLM,yes,7,7,SubmitConfidenceForShape,4,7,7,true,true,false,4,3,3,LLM,,,,15:33:07 04.06.25,1749051187
UID_Sp59WX69Ls96IJ56yH,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7108,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7108_SubmitRatingBtn,,4,,LLM,no,8,6,SubmitConfidenceForShape,1,8,8,true,true,false,3,4,4,LLM,,,,15:33:29 04.06.25,1749051209
UID_zv91uL38jb94JM58Jd,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1229,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1229_SubmitRatingBtn,,5,,LLM,yes,7,7,SubmitConfidenceForShape,2,7,7,true,true,false,5,5,5,LLM,,,,15:34:23 04.06.25,1749051263
UID_zv91uL38jb94JM58Jd,block_end_questionnaire_explanation_LLM_question_1,click,block_end_questionnaire_explanation_LLM_question_1_SubmitRatingBtn,,5,,LLM,no,,,,,,,false,false,false,,,,,,,,15:34:34 04.06.25,1749051274
UID_zv91uL38jb94JM58Jd,block_end_questionnaire_explanation_LLM_question_2,click,block_end_questionnaire_explanation_LLM_question_2_SubmitRatingBtn,,4,,LLM,no,,,,,,,false,false,false,,,,,,,,15:34:41 04.06.25,1749051281
UID_zv91uL38jb94JM58Jd,block_end_questionnaire_explanation_LLM_question_3,click,block_end_questionnaire_explanation_LLM_question_3_SubmitRatingBtn,,4,,LLM,no,,,,,,,false,false,false,,,,,,,,15:34:46 04.06.25,1749051286
UID_bv13An42XI68xl08lQ,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1229,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1229_SubmitRatingBtn,,3,,LLM,yes,7,7,SubmitConfidenceForShape,5,7,7,true,true,false,4,4,3,LLM,,,,15:35:37 04.06.25,1749051337
UID_GC64QU46gM94GA17IQ,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_128,click,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_128_SubmitRatingBtn,,3,,OS,no,7,8,SubmitConfidenceForShape,1,1,7,false,true,true,3,3,3,OS,,,,15:36:16 04.06.25,1749051376
UID_GC64QU46gM94GA17IQ,block_end_questionnaire_explanation_OS_question_1,click,block_end_questionnaire_explanation_OS_question_1_SubmitRatingBtn,,3,,OS,no,,,,,,,false,false,false,,,,,,,,15:36:37 04.06.25,1749051397
UID_zv91uL38jb94JM58Jd,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_218,click,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_218_SubmitRatingBtn,,4,,OS,yes,5,5,SubmitConfidenceForShape,3,3,3,false,false,false,4,4,4,OS,,,,15:37:00 04.06.25,1749051420
UID_GC64QU46gM94GA17IQ,block_end_questionnaire_explanation_OS_question_2,click,block_end_questionnaire_explanation_OS_question_2_SubmitRatingBtn,,3,,OS,no,,,,,,,false,false,false,,,,,,,,15:37:02 04.06.25,1749051422
UID_GC64QU46gM94GA17IQ,block_end_questionnaire_explanation_OS_question_3,click,block_end_questionnaire_explanation_OS_question_3_SubmitRatingBtn,,2,,OS,no,,,,,,,false,false,false,,,,,,,,15:37:15 04.06.25,1749051435
UID_bv13An42XI68xl08lQ,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7788,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7788_SubmitRatingBtn,,5,,LLM,no,4,3,SubmitConfidenceForShape,3,3,3,false,false,false,5,4,5,LLM,,,,15:37:50 04.06.25,1749051470
UID_ml46KH20Ef19wE69ad,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7788,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7788_SubmitRatingBtn,,4,,LLM,no,4,3,SubmitConfidenceForShape,3,3,3,false,false,false,5,5,4,LLM,,,,15:38:02 04.06.25,1749051482
UID_ew60Nc39UF65Cn93Gi,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7108,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7108_SubmitRatingBtn,,4,,LLM,no,8,6,SubmitConfidenceForShape,3,3,3,false,false,false,3,3,4,LLM,,,,15:38:03 04.06.25,1749051483
UID_Sp59WX69Ls96IJ56yH,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1228,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1228_SubmitRatingBtn,,3,,LLM,yes,1,1,SubmitConfidenceForShape,2,1,2,true,false,true,3,3,3,LLM,,,,15:39:36 04.06.25,1749051576
UID_zv91uL38jb94JM58Jd,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_429,click,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_429_SubmitRatingBtn,,4,,OS,no,8,7,SubmitConfidenceForShape,2,2,2,false,false,false,4,5,4,OS,,,,15:39:50 04.06.25,1749051590
UID_bv13An42XI68xl08lQ,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_6569,click,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_6569_SubmitRatingBtn,,5,,LLM,yes,1,1,SubmitConfidenceForShape,1,-,-,true,false,false,5,-,-,LLM,,,,15:41:00 04.06.25,1749051660
UID_GC64QU46gM94GA17IQ,confidence_rating3_stage_i1_LLMExplanation_ShapeIndex_LLM_7788,click,confidence_rating3_stage_i1_LLMExplanation_ShapeIndex_LLM_7788_SubmitRatingBtn,,3,,LLM,no,4,3,SubmitConfidenceForShape,3,3,3,false,false,false,2,2,3,LLM,,,,15:41:04 04.06.25,1749051664
UID_iQ88Eg36pD60mG02Fi,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_429,click,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_429_SubmitRatingBtn,,3,,OS,no,8,7,SubmitConfidenceForShape,5,7,7,true,true,false,4,3,3,OS,,,,15:41:52 04.06.25,1749051712
UID_ew60Nc39UF65Cn93Gi,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_5349,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_5349_SubmitRatingBtn,,4,,LLM,yes,7,7,SubmitConfidenceForShape,6,7,7,true,true,false,2,3,4,LLM,,,,15:41:55 04.06.25,1749051715
UID_Sp59WX69Ls96IJ56yH,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_5349,click,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_5349_SubmitRatingBtn,,3,,LLM,yes,7,7,SubmitConfidenceForShape,7,-,-,true,false,false,3,-,-,LLM,,,,15:42:52 04.06.25,1749051772
UID_ew60Nc39UF65Cn93Gi,block_end_questionnaire_explanation_LLM_question_1,click,block_end_questionnaire_explanation_LLM_question_1_SubmitRatingBtn,,3,,LLM,no,,,,,,,false,false,false,,,,,,,,15:42:54 04.06.25,1749051774
UID_zv91uL38jb94JM58Jd,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_869,click,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_869_SubmitRatingBtn,,4,,OS,yes,6,6,SubmitConfidenceForShape,5,6,6,true,true,false,2,4,4,OS,,,,15:42:54 04.06.25,1749051774
UID_ml46KH20Ef19wE69ad,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7108,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7108_SubmitRatingBtn,,4,,LLM,no,8,6,SubmitConfidenceForShape,3,8,8,true,true,false,3,4,4,LLM,,,,15:43:06 04.06.25,1749051786
UID_GC64QU46gM94GA17IQ,confidence_rating3_stage_i1_LLMExplanation_ShapeIndex_LLM_1229,click,confidence_rating3_stage_i1_LLMExplanation_ShapeIndex_LLM_1229_SubmitRatingBtn,,3,,LLM,yes,7,7,SubmitConfidenceForShape,4,7,7,true,true,false,2,3,3,LLM,,,,15:43:16 04.06.25,1749051796
UID_ew60Nc39UF65Cn93Gi,block_end_questionnaire_explanation_LLM_question_2,click,block_end_questionnaire_explanation_LLM_question_2_SubmitRatingBtn,,2,,LLM,no,,,,,,,false,false,false,,,,,,,,15:43:17 04.06.25,1749051797
UID_ml46KH20Ef19wE69ad,block_end_questionnaire_explanation_LLM_question_1,click,block_end_questionnaire_explanation_LLM_question_1_SubmitRatingBtn,,5,,LLM,no,,,,,,,false,false,false,,,,,,,,15:43:27 04.06.25,1749051807
UID_ml46KH20Ef19wE69ad,block_end_questionnaire_explanation_LLM_question_2,click,block_end_questionnaire_explanation_LLM_question_2_SubmitRatingBtn,,5,,LLM,no,,,,,,,false,false,false,,,,,,,,15:43:32 04.06.25,1749051812
UID_ml46KH20Ef19wE69ad,block_end_questionnaire_explanation_LLM_question_3,click,block_end_questionnaire_explanation_LLM_question_3_SubmitRatingBtn,,4,,LLM,no,,,,,,,false,false,false,,,,,,,,15:43:53 04.06.25,1749051833
UID_ew60Nc39UF65Cn93Gi,block_end_questionnaire_explanation_LLM_question_3,click,block_end_questionnaire_explanation_LLM_question_3_SubmitRatingBtn,,4,,LLM,no,,,,,,,false,false,false,,,,,,,,15:43:54 04.06.25,1749051834
UID_zv91uL38jb94JM58Jd,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_2739,click,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_2739_SubmitRatingBtn,,5,,OS,no,4,2,SubmitConfidenceForShape,2,2,2,false,false,false,5,5,5,OS,,,,15:44:43 04.06.25,1749051883
UID_zv91uL38jb94JM58Jd,block_end_questionnaire_explanation_OS_question_1,click,block_end_questionnaire_explanation_OS_question_1_SubmitRatingBtn,,3,,OS,no,,,,,,,false,false,false,,,,,,,,15:44:52 04.06.25,1749051892
UID_zv91uL38jb94JM58Jd,block_end_questionnaire_explanation_OS_question_2,click,block_end_questionnaire_explanation_OS_question_2_SubmitRatingBtn,,2,,OS,no,,,,,,,false,false,false,,,,,,,,15:44:57 04.06.25,1749051897
UID_zv91uL38jb94JM58Jd,block_end_questionnaire_explanation_OS_question_3,click,block_end_questionnaire_explanation_OS_question_3_SubmitRatingBtn,,2,,OS,no,,,,,,,false,false,false,,,,,,,,15:45:02 04.06.25,1749051902
UID_GC64QU46gM94GA17IQ,confidence_rating3_stage_i1_LLMExplanation_ShapeIndex_LLM_219,click,confidence_rating3_stage_i1_LLMExplanation_ShapeIndex_LLM_219_SubmitRatingBtn,,3,,LLM,no,6,2,SubmitConfidenceForShape,7,7,7,false,false,false,3,3,3,LLM,,,,15:45:08 04.06.25,1749051908
UID_iQ88Eg36pD60mG02Fi,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_6999,click,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_6999_SubmitRatingBtn,,5,,OS,yes,4,4,SubmitConfidenceForShape,6,4,4,true,true,false,5,5,5,OS,,,,15:45:17 04.06.25,1749051917
UID_ml46KH20Ef19wE69ad,confidence_rating1_stage_i1_OSExplanation_ShapeIndex_OS_7029,click,confidence_rating1_stage_i1_OSExplanation_ShapeIndex_OS_7029_SubmitRatingBtn,,4,,OS,yes,8,8,SubmitConfidenceForShape,8,-,-,true,false,false,4,-,-,OS,,,,15:45:47 04.06.25,1749051947
UID_GC64QU46gM94GA17IQ,confidence_rating3_stage_i1_LLMExplanation_ShapeIndex_LLM_7108,click,confidence_rating3_stage_i1_LLMExplanation_ShapeIndex_LLM_7108_SubmitRatingBtn,,4,,LLM,no,8,6,SubmitConfidenceForShape,5,5,5,false,false,false,4,4,4,LLM,,,,15:46:46 04.06.25,1749052006
UID_bv13An42XI68xl08lQ,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_5349,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_5349_SubmitRatingBtn,,2,,LLM,yes,7,7,SubmitConfidenceForShape,4,7,7,true,true,false,1,2,2,LLM,,,,15:46:50 04.06.25,1749052010
UID_GC64QU46gM94GA17IQ,block_end_questionnaire_explanation_LLM_question_1,click,block_end_questionnaire_explanation_LLM_question_1_SubmitRatingBtn,,3,,LLM,no,,,,,,,false,false,false,,,,,,,,15:46:57 04.06.25,1749052017
UID_GC64QU46gM94GA17IQ,block_end_questionnaire_explanation_LLM_question_2,click,block_end_questionnaire_explanation_LLM_question_2_SubmitRatingBtn,,4,,LLM,no,,,,,,,false,false,false,,,,,,,,15:47:05 04.06.25,1749052025
UID_bv13An42XI68xl08lQ,block_end_questionnaire_explanation_LLM_question_1,click,block_end_questionnaire_explanation_LLM_question_1_SubmitRatingBtn,,5,,LLM,no,,,,,,,false,false,false,,,,,,,,15:47:13 04.06.25,1749052033
UID_GC64QU46gM94GA17IQ,block_end_questionnaire_explanation_LLM_question_3,click,block_end_questionnaire_explanation_LLM_question_3_SubmitRatingBtn,,1,,LLM,no,,,,,,,false,false,false,,,,,,,,15:47:17 04.06.25,1749052037
UID_bv13An42XI68xl08lQ,block_end_questionnaire_explanation_LLM_question_2,click,block_end_questionnaire_explanation_LLM_question_2_SubmitRatingBtn,,4,,LLM,no,,,,,,,false,false,false,,,,,,,,15:47:28 04.06.25,1749052048
UID_bv13An42XI68xl08lQ,block_end_questionnaire_explanation_LLM_question_3,click,block_end_questionnaire_explanation_LLM_question_3_SubmitRatingBtn,,4,,LLM,no,,,,,,,false,false,false,,,,,,,,15:47:39 04.06.25,1749052059
UID_ew60Nc39UF65Cn93Gi,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_429,click,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_429_SubmitRatingBtn,,4,,OS,no,8,7,SubmitConfidenceForShape,7,7,7,false,false,false,4,4,4,OS,,,,15:47:59 04.06.25,1749052079
UID_Sp59WX69Ls96IJ56yH,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1229,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1229_SubmitRatingBtn,,4,,LLM,yes,7,7,SubmitConfidenceForShape,4,4,4,false,false,false,4,4,4,LLM,,,,15:48:04 04.06.25,1749052084
UID_iQ88Eg36pD60mG02Fi,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_128,click,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_128_SubmitRatingBtn,,4,,OS,no,7,8,SubmitConfidenceForShape,6,7,7,true,true,false,4,4,4,OS,,,,15:48:17 04.06.25,1749052097
UID_Sp59WX69Ls96IJ56yH,block_end_questionnaire_explanation_LLM_question_1,click,block_end_questionnaire_explanation_LLM_question_1_SubmitRatingBtn,,4,,LLM,no,,,,,,,false,false,false,,,,,,,,15:48:19 04.06.25,1749052099
UID_ml46KH20Ef19wE69ad,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_6999,click,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_6999_SubmitRatingBtn,,4,,OS,yes,4,4,SubmitConfidenceForShape,8,4,4,true,true,false,5,5,4,OS,,,,15:48:24 04.06.25,1749052104
UID_Sp59WX69Ls96IJ56yH,block_end_questionnaire_explanation_LLM_question_2,click,block_end_questionnaire_explanation_LLM_question_2_SubmitRatingBtn,,3,,LLM,no,,,,,,,false,false,false,,,,,,,,15:48:34 04.06.25,1749052114
UID_iQ88Eg36pD60mG02Fi,block_end_questionnaire_explanation_OS_question_1,click,block_end_questionnaire_explanation_OS_question_1_SubmitRatingBtn,,1,,OS,no,,,,,,,false,false,false,,,,,,,,15:48:35 04.06.25,1749052115
UID_Sp59WX69Ls96IJ56yH,block_end_questionnaire_explanation_LLM_question_3,click,block_end_questionnaire_explanation_LLM_question_3_SubmitRatingBtn,,4,,LLM,no,,,,,,,false,false,false,,,,,,,,15:48:43 04.06.25,1749052123
UID_iQ88Eg36pD60mG02Fi,block_end_questionnaire_explanation_OS_question_2,click,block_end_questionnaire_explanation_OS_question_2_SubmitRatingBtn,,2,,OS,no,,,,,,,false,false,false,,,,,,,,15:49:07 04.06.25,1749052147
UID_iQ88Eg36pD60mG02Fi,block_end_questionnaire_explanation_OS_question_3,click,block_end_questionnaire_explanation_OS_question_3_SubmitRatingBtn,,2,,OS,no,,,,,,,false,false,false,,,,,,,,15:49:15 04.06.25,1749052155
UID_Sp59WX69Ls96IJ56yH,confidence_rating1_stage_i1_OSExplanation_ShapeIndex_OS_128,click,confidence_rating1_stage_i1_OSExplanation_ShapeIndex_OS_128_SubmitRatingBtn,,4,,OS,no,7,8,SubmitConfidenceForShape,7,-,-,true,false,false,4,-,-,OS,,,,15:50:14 04.06.25,1749052214
UID_iQ88Eg36pD60mG02Fi,confidence_rating1_stage_i1_LLMExplanation_ShapeIndex_LLM_5349,click,confidence_rating1_stage_i1_LLMExplanation_ShapeIndex_LLM_5349_SubmitRatingBtn,,2,,LLM,yes,7,7,SubmitConfidenceForShape,7,-,-,true,false,false,2,-,-,LLM,,,,15:50:37 04.06.25,1749052237
UID_bv13An42XI68xl08lQ,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_7029,click,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_7029_SubmitRatingBtn,,5,,OS,yes,8,8,SubmitConfidenceForShape,4,8,8,true,true,false,5,5,5,OS,,,,15:50:38 04.06.25,1749052238
UID_ml46KH20Ef19wE69ad,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_2739,click,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_2739_SubmitRatingBtn,,4,,OS,no,4,2,SubmitConfidenceForShape,6,6,6,false,false,false,3,4,4,OS,,,,15:50:47 04.06.25,1749052247
UID_iQ88Eg36pD60mG02Fi,confidence_rating1_stage_i1_LLMExplanation_ShapeIndex_LLM_4088,click,confidence_rating1_stage_i1_LLMExplanation_ShapeIndex_LLM_4088_SubmitRatingBtn,,4,,LLM,yes,6,6,SubmitConfidenceForShape,6,-,-,true,false,false,4,-,-,LLM,,,,15:51:35 04.06.25,1749052295
UID_ew60Nc39UF65Cn93Gi,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_128,click,confidence_rating3_stage_i1_OSExplanation_ShapeIndex_OS_128_SubmitRatingBtn,,5,,OS,no,7,8,SubmitConfidenceForShape,2,2,2,false,false,false,5,5,5,OS,,,,15:51:52 04.06.25,1749052312
